Fold,Threshold,Calibration_Method,Near_Threshold_Ratio,Reliability_Error,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,MCC,Balanced_Accuracy,Brier,Entropy,Entropy_STD,High_Entropy_Ratio,Probability_Mean,Probability_STD,Probability_IQR,Mean_Confidence,Low_Confidence_Ratio,High_Confidence_Ratio
1,0.52,none,0.22727272727272727,0.13725481927394867,0.5454545454545454,0.6352941176470588,0.5982905982905983,0.5299145299145299,0.48717948717948717,0.6342060717060717,0.23063512107853829,0.5982905982905983,0.26349779963493347,0.9711337685585022,0.024017460644245148,1.0,0.4573787748813629,0.08985652774572372,0.1184614971280098,0.586576521396637,0.4090909090909091,0.0
2,0.52,sigmoid,0.0,0.013880179155552175,0.5909090909090909,0.29545454545454547,0.5,0.37142857142857144,0.5299145299145299,0.6143271509787348,0.0,0.5,0.2418969423446807,0.9680774856183703,0.0005625245361190343,1.0,0.6047892700646431,0.0009160052832517378,0.0013461532456816583,0.6047892700646431,0.0,0.0
3,0.52,none,0.7272727272727273,0.09341744401238179,0.5909090909090909,0.75,0.6538461538461539,0.5686274509803921,0.7435897435897436,0.838798937230111,0.3922322702763681,0.6538461538461539,0.23563870787620544,0.9944799542427063,0.012661908753216267,1.0,0.497491717338562,0.043491024523973465,0.03917285054922104,0.5302116870880127,0.9545454545454546,0.0
4,0.44,none,0.047619047619047616,0.2438798202645211,0.7619047619047619,0.775,0.7115384615384616,0.7214854111405835,0.7211538461538461,0.8035964035964035,0.4823819106188661,0.7115384615384616,0.1874997317790985,0.7206094264984131,0.24416297674179077,0.2857142857142857,0.5867112278938293,0.27818989753723145,0.330888569355011,0.7594779133796692,0.14285714285714285,0.23809523809523808
5,0.54,none,0.19047619047619047,0.15849196449631733,0.7619047619047619,0.7681818181818182,0.7836538461538461,0.7597254004576659,0.8076923076923077,0.8770397902750843,0.5516187241049897,0.7836538461538461,0.17209453880786896,0.6980311274528503,0.2760874330997467,0.42857142857142855,0.5700759887695312,0.2919907569885254,0.4674057364463806,0.7519609332084656,0.23809523809523808,0.42857142857142855
6,0.54,none,0.22727272727272727,0.22002935697409237,0.7272727272727273,0.7521367521367521,0.7521367521367521,0.7272727272727273,0.7948717948717949,0.8668541425894365,0.5042735042735043,0.7521367521367521,0.194442018866539,0.7636759281158447,0.22158518433570862,0.36363636363636365,0.5267108678817749,0.2687334418296814,0.5181609764695168,0.7298762798309326,0.2727272727272727,0.2727272727272727
7,0.52,none,0.18181818181818182,0.22004121880639682,0.6363636363636364,0.6190476190476191,0.6068376068376069,0.6071428571428572,0.7179487179487181,0.8475787284610812,0.2255549841503195,0.6068376068376069,0.2218399941921234,0.8657057285308838,0.13639704883098602,0.5909090909090909,0.6239697933197021,0.16771802306175232,0.24244415760040283,0.6771194338798523,0.22727272727272727,0.13636363636363635
8,0.42,none,0.13636363636363635,0.2073378319090063,0.7727272727272727,0.7678571428571428,0.7564102564102564,0.7603485838779956,0.7435897435897436,0.7464676349291735,0.5241424183609591,0.7564102564102564,0.21828852593898773,0.853834867477417,0.19057583808898926,0.6818181818181818,0.46824881434440613,0.21149198710918427,0.2588748410344124,0.6734084486961365,0.36363636363636365,0.18181818181818182
9,0.42,none,0.19047619047619047,0.259283701578776,0.8095238095238095,0.7980769230769231,0.7980769230769231,0.7980769230769231,0.7884615384615384,0.8388029516988791,0.5961538461538461,0.7980769230769231,0.19898179173469543,0.8871789574623108,0.09889175742864609,0.5714285714285714,0.5272669792175293,0.19106151163578033,0.3765062093734741,0.6727840900421143,0.23809523809523808,0.047619047619047616
10,0.52,none,0.23809523809523808,0.1897554624648321,0.7619047619047619,0.775,0.7115384615384616,0.7214854111405835,0.6923076923076923,0.7856044408080605,0.4823819106188661,0.7115384615384616,0.2108784168958664,0.9098408818244934,0.09939585626125336,0.7619047619047619,0.6218129396438599,0.12217356264591217,0.16369348764419556,0.6423002481460571,0.38095238095238093,0.09523809523809523
11,0.58,sigmoid,0.18181818181818182,0.14683837618012135,0.7727272727272727,0.7666666666666666,0.7735042735042735,0.7684210526315789,0.7948717948717949,0.8795732045732045,0.5401276624446222,0.7735042735042735,0.2013384812886992,0.9353409914850354,0.07110089395640111,0.9090909090909091,0.5795912982693882,0.12377042431828206,0.19221163461508295,0.6262552407727897,0.3181818181818182,0.0
12,0.56,none,0.22727272727272727,0.16130853241140192,0.7272727272727273,0.7521367521367521,0.7521367521367521,0.7272727272727273,0.7350427350427351,0.8327514931021718,0.5042735042735043,0.7521367521367521,0.2133914977312088,0.8776190280914307,0.12546277046203613,0.6363636363636364,0.4967522919178009,0.19965556263923645,0.29758792370557785,0.6707226037979126,0.22727272727272727,0.13636363636363635
13,0.58,none,0.45454545454545453,0.1939317069270394,0.5454545454545454,0.7368421052631579,0.6153846153846154,0.5089285714285714,0.4017094017094017,0.645756060179137,0.33062326126679026,0.6153846153846154,0.2480698525905609,0.9814565181732178,0.03522048518061638,0.9090909090909091,0.5462331771850586,0.064504474401474,0.049574241042137146,0.5589655041694641,0.8636363636363636,0.0
14,0.52,none,0.0,0.16596897017388113,0.6190476190476191,0.5961538461538461,0.5961538461538461,0.5961538461538461,0.75,0.8715695037676462,0.19230769230769232,0.5961538461538461,0.22260791063308716,0.739460289478302,0.22130368649959564,0.38095238095238093,0.5890618562698364,0.2689140737056732,0.4220132827758789,0.7585006952285767,0.09523809523809523,0.2857142857142857
15,0.56,none,0.14285714285714285,0.2514273545571736,0.7142857142857143,0.7361111111111112,0.7451923076923077,0.7136363636363636,0.6730769230769231,0.8347659306637631,0.4812177395114532,0.7451923076923077,0.2048131376504898,0.8800016045570374,0.15320710837841034,0.7142857142857143,0.5674234628677368,0.18406908214092255,0.250797837972641,0.6544339060783386,0.38095238095238093,0.19047619047619047
